"condition","environment","groupID","subjectID","groupSize","averagePerformance","optimalChoiceRate","optimalChoiceCount","totalRoundNum","taskDifficulty","groupSize_standerized","groupSize_centralized","groupSize_standerized2","groupSize_centralized2","choiceCount_poor","choiceCount_good1","choiceCount_good2","average_entropy","average_gini","amazonID","alpha","beta","soc_raw","soc_change","soc2","soc70","theta","low_alpha","low_beta","low_soc_raw","low_soc_change","low_soc2","low_theta","high_alpha","high_beta","high_soc_raw","high_soc_change","high_soc2","high_theta","alpha_25","beta_25","soc_raw_25","soc_change_25","soc2_25","theta_25","alpha_75","beta_75","soc_raw_75","soc_change_75","soc2_75","theta_75","annealing","annealing_25","annealing_75","high_annealing","low_annealing","smallestWaicModel","frequency_dependence_4","male_female_other","age","average_copy_rate","average_invTemp"
1,"environment 2","subRoom1_1_25_12","A1C6BL1O5L5LA9",1,2,0,0,30,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,0,30,0,0,0.666666666666667,"A1C6BL1O5L5LA9",0.496722887794029,2.22660618429,NA,NA,NA,NA,NA,0.142930870152917,0.757844457013046,NA,NA,NA,NA,0.914440838491291,5.02423634043609,NA,NA,NA,NA,0.331867763758662,1.68641280112569,NA,NA,NA,NA,0.670448925285218,2.92339331918286,NA,NA,NA,NA,3.74459548174944,2.48604170131339,5.67249048294453,13.0212241244543,0.284799492443695,"AL_ann","Single-condition",1,35,NA,NA
1,"e1+e2","subRoom1_1_25_12","A1C6BL1O5L5LA9",1,1.97142857142857,0.542857142857143,38,70,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,1,68,1,0,0.666666666666667,"A1C6BL1O5L5LA9",0.496722887794029,2.22660618429,NA,NA,NA,NA,NA,0.142930870152917,0.757844457013046,NA,NA,NA,NA,0.914440838491291,5.02423634043609,NA,NA,NA,NA,0.331867763758662,1.68641280112569,NA,NA,NA,NA,0.670448925285218,2.92339331918286,NA,NA,NA,NA,3.74459548174944,2.48604170131339,5.67249048294453,13.0212241244543,0.284799492443695,"AL_ann","Single-condition",1,35,NA,NA
1,"environment 1","subRoom1_1_25_14","A115A6OQBJFVVS",1,1.8,0.8,32,40,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,5,32,3,0,0.666666666666667,"A115A6OQBJFVVS",0.944100507722064,1.11635657359303,NA,NA,NA,NA,NA,0.66449621503006,0.229584664270186,NA,NA,NA,NA,0.999798962573345,2.13430217764473,NA,NA,NA,NA,0.877865128532667,0.80658231848549,NA,NA,NA,NA,0.985730081791438,1.44866229944068,NA,NA,NA,NA,3.97194201444042,3.0758761700323,5.22521868614777,8.10693065093964,1.59674499364507,"AL_ann","Single-condition",2,52,NA,NA
1,"environment 2","subRoom1_1_25_14","A115A6OQBJFVVS",1,2,0,0,30,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,0,30,0,0,0.666666666666667,"A115A6OQBJFVVS",0.944100507722064,1.11635657359303,NA,NA,NA,NA,NA,0.66449621503006,0.229584664270186,NA,NA,NA,NA,0.999798962573345,2.13430217764473,NA,NA,NA,NA,0.877865128532667,0.80658231848549,NA,NA,NA,NA,0.985730081791438,1.44866229944068,NA,NA,NA,NA,3.97194201444042,3.0758761700323,5.22521868614777,8.10693065093964,1.59674499364507,"AL_ann","Single-condition",2,52,NA,NA
1,"e1+e2","subRoom1_1_25_14","A115A6OQBJFVVS",1,1.88571428571429,0.457142857142857,32,70,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,5,62,3,0,0.666666666666667,"A115A6OQBJFVVS",0.944100507722064,1.11635657359303,NA,NA,NA,NA,NA,0.66449621503006,0.229584664270186,NA,NA,NA,NA,0.999798962573345,2.13430217764473,NA,NA,NA,NA,0.877865128532667,0.80658231848549,NA,NA,NA,NA,0.985730081791438,1.44866229944068,NA,NA,NA,NA,3.97194201444042,3.0758761700323,5.22521868614777,8.10693065093964,1.59674499364507,"AL_ann","Single-condition",2,52,NA,NA
1,"environment 1","subRoom1_1_25_15","ACM517GLZPTV3",1,1.8,0.8,32,40,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,4,32,4,0,0.666666666666667,"ACM517GLZPTV3",0.797322328928597,1.02426404655807,NA,NA,NA,NA,NA,0.400679748387383,0.192788637679853,NA,NA,NA,NA,0.998143710589108,1.82794307527169,NA,NA,NA,NA,0.659958011189323,0.764167419642414,NA,NA,NA,NA,0.910628176617813,1.28585758064774,NA,NA,NA,NA,1.41571901852551,0.873417966269156,1.97811969821607,3.11554388913389,-0.133063150172151,"AL_ann","Single-condition",1,66,NA,NA
1,"environment 2","subRoom1_1_25_15","ACM517GLZPTV3",1,2.9,0.933333333333333,28,30,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,1,1,28,0,0.666666666666667,"ACM517GLZPTV3",0.797322328928597,1.02426404655807,NA,NA,NA,NA,NA,0.400679748387383,0.192788637679853,NA,NA,NA,NA,0.998143710589108,1.82794307527169,NA,NA,NA,NA,0.659958011189323,0.764167419642414,NA,NA,NA,NA,0.910628176617813,1.28585758064774,NA,NA,NA,NA,1.41571901852551,0.873417966269156,1.97811969821607,3.11554388913389,-0.133063150172151,"AL_ann","Single-condition",1,66,NA,NA
1,"e1+e2","subRoom1_1_25_15","ACM517GLZPTV3",1,2.27142857142857,0.857142857142857,60,70,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,5,33,32,0,0.666666666666667,"ACM517GLZPTV3",0.797322328928597,1.02426404655807,NA,NA,NA,NA,NA,0.400679748387383,0.192788637679853,NA,NA,NA,NA,0.998143710589108,1.82794307527169,NA,NA,NA,NA,0.659958011189323,0.764167419642414,NA,NA,NA,NA,0.910628176617813,1.28585758064774,NA,NA,NA,NA,1.41571901852551,0.873417966269156,1.97811969821607,3.11554388913389,-0.133063150172151,"AL_ann","Single-condition",1,66,NA,NA
1,"environment 1","subRoom1_1_25_16","AX3MVCU5MEFED",1,1.2,0.2,8,40,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,16,8,16,0,0.666666666666667,"AX3MVCU5MEFED",0.921906346552334,-1.05240387775063,NA,NA,NA,NA,NA,0.518158559511697,-1.95959397616105,NA,NA,NA,NA,0.999827328522248,-0.29912573385929,NA,NA,NA,NA,0.820359032871111,-1.34786500020185,NA,NA,NA,NA,0.97681358808701,-0.777411901914779,NA,NA,NA,NA,2.34755917582526,1.90885684552447,2.76241992570504,3.68489248016318,1.20628381767466,"AL_ann","Single-condition",2,22,NA,NA
1,"environment 2","subRoom1_1_25_16","AX3MVCU5MEFED",1,2.23333333333333,0.533333333333333,16,30,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,9,5,16,0,0.666666666666667,"AX3MVCU5MEFED",0.921906346552334,-1.05240387775063,NA,NA,NA,NA,NA,0.518158559511697,-1.95959397616105,NA,NA,NA,NA,0.999827328522248,-0.29912573385929,NA,NA,NA,NA,0.820359032871111,-1.34786500020185,NA,NA,NA,NA,0.97681358808701,-0.777411901914779,NA,NA,NA,NA,2.34755917582526,1.90885684552447,2.76241992570504,3.68489248016318,1.20628381767466,"AL_ann","Single-condition",2,22,NA,NA
1,"e1+e2","subRoom1_1_25_16","AX3MVCU5MEFED",1,1.64285714285714,0.342857142857143,24,70,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,25,13,32,0,0.666666666666667,"AX3MVCU5MEFED",0.921906346552334,-1.05240387775063,NA,NA,NA,NA,NA,0.518158559511697,-1.95959397616105,NA,NA,NA,NA,0.999827328522248,-0.29912573385929,NA,NA,NA,NA,0.820359032871111,-1.34786500020185,NA,NA,NA,NA,0.97681358808701,-0.777411901914779,NA,NA,NA,NA,2.34755917582526,1.90885684552447,2.76241992570504,3.68489248016318,1.20628381767466,"AL_ann","Single-condition",2,22,NA,NA
1,"environment 1","subRoom1_1_25_17","A1OSBPDYPJU3BX",1,1.75,0.75,30,40,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,6,30,4,0,0.666666666666667,"A1OSBPDYPJU3BX",0.269075092682747,1.41600573514365,NA,NA,NA,NA,NA,0.073280994937132,-0.0302328608341115,NA,NA,NA,NA,0.776695229950061,3.76706693590794,NA,NA,NA,NA,0.176023309521359,0.935014368707817,NA,NA,NA,NA,0.423079280833132,1.99607217302222,NA,NA,NA,NA,4.42083637890535,3.01159055246532,6.11175351239827,11.7924847448538,1.18660957560471,"AL_ann","Single-condition",2,61,NA,NA
1,"environment 2","subRoom1_1_25_17","A1OSBPDYPJU3BX",1,2,0,0,30,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,0,30,0,0,0.666666666666667,"A1OSBPDYPJU3BX",0.269075092682747,1.41600573514365,NA,NA,NA,NA,NA,0.073280994937132,-0.0302328608341115,NA,NA,NA,NA,0.776695229950061,3.76706693590794,NA,NA,NA,NA,0.176023309521359,0.935014368707817,NA,NA,NA,NA,0.423079280833132,1.99607217302222,NA,NA,NA,NA,4.42083637890535,3.01159055246532,6.11175351239827,11.7924847448538,1.18660957560471,"AL_ann","Single-condition",2,61,NA,NA
1,"e1+e2","subRoom1_1_25_17","A1OSBPDYPJU3BX",1,1.85714285714286,0.428571428571429,30,70,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,6,60,4,0,0.666666666666667,"A1OSBPDYPJU3BX",0.269075092682747,1.41600573514365,NA,NA,NA,NA,NA,0.073280994937132,-0.0302328608341115,NA,NA,NA,NA,0.776695229950061,3.76706693590794,NA,NA,NA,NA,0.176023309521359,0.935014368707817,NA,NA,NA,NA,0.423079280833132,1.99607217302222,NA,NA,NA,NA,4.42083637890535,3.01159055246532,6.11175351239827,11.7924847448538,1.18660957560471,"AL_ann","Single-condition",2,61,NA,NA
1,"environment 1","subRoom1_1_25_18","A1P8M5BKOTAA8I",1,1.55,0.55,22,40,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,7,22,11,0,0.666666666666667,"A1P8M5BKOTAA8I",0.952424585437008,0.843388304289793,NA,NA,NA,NA,NA,0.689477254398756,0.0766722688333444,NA,NA,NA,NA,0.999783678510076,1.61290791804101,NA,NA,NA,NA,0.888734946274952,0.586889659631846,NA,NA,NA,NA,0.984043812247101,1.09994184111234,NA,NA,NA,NA,0.47952030682947,0.0466321820414294,0.908631882404563,1.89124352817422,-0.800726703465322,"AL_ann","Single-condition",1,39,NA,NA
1,"environment 2","subRoom1_1_25_18","A1P8M5BKOTAA8I",1,2.56666666666667,0.633333333333333,19,30,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,2,9,19,0,0.666666666666667,"A1P8M5BKOTAA8I",0.952424585437008,0.843388304289793,NA,NA,NA,NA,NA,0.689477254398756,0.0766722688333444,NA,NA,NA,NA,0.999783678510076,1.61290791804101,NA,NA,NA,NA,0.888734946274952,0.586889659631846,NA,NA,NA,NA,0.984043812247101,1.09994184111234,NA,NA,NA,NA,0.47952030682947,0.0466321820414294,0.908631882404563,1.89124352817422,-0.800726703465322,"AL_ann","Single-condition",1,39,NA,NA
1,"e1+e2","subRoom1_1_25_18","A1P8M5BKOTAA8I",1,1.98571428571429,0.585714285714286,41,70,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,9,31,30,0,0.666666666666667,"A1P8M5BKOTAA8I",0.952424585437008,0.843388304289793,NA,NA,NA,NA,NA,0.689477254398756,0.0766722688333444,NA,NA,NA,NA,0.999783678510076,1.61290791804101,NA,NA,NA,NA,0.888734946274952,0.586889659631846,NA,NA,NA,NA,0.984043812247101,1.09994184111234,NA,NA,NA,NA,0.47952030682947,0.0466321820414294,0.908631882404563,1.89124352817422,-0.800726703465322,"AL_ann","Single-condition",1,39,NA,NA
1,"environment 1","subRoom1_1_25_19","A2WX9BYW5TI8OA",1,1.5,0.5,20,40,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,11,20,9,0,0.666666666666667,"A2WX9BYW5TI8OA",0.844987652872693,0.447388008124697,NA,NA,NA,NA,NA,0.450207580830305,-0.245237398189273,NA,NA,NA,NA,0.998711355015546,1.19952263924072,NA,NA,NA,NA,0.721273222868807,0.198212561119946,NA,NA,NA,NA,0.933964427273581,0.692354854421521,NA,NA,NA,NA,0.857320426641227,0.431224310423252,1.28557399293343,2.0440184242287,-0.392130773859448,"AL_ann","Single-condition",2,50,NA,NA
1,"environment 2","subRoom1_1_25_19","A2WX9BYW5TI8OA",1,2.6,0.666666666666667,20,30,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,2,8,20,0,0.666666666666667,"A2WX9BYW5TI8OA",0.844987652872693,0.447388008124697,NA,NA,NA,NA,NA,0.450207580830305,-0.245237398189273,NA,NA,NA,NA,0.998711355015546,1.19952263924072,NA,NA,NA,NA,0.721273222868807,0.198212561119946,NA,NA,NA,NA,0.933964427273581,0.692354854421521,NA,NA,NA,NA,0.857320426641227,0.431224310423252,1.28557399293343,2.0440184242287,-0.392130773859448,"AL_ann","Single-condition",2,50,NA,NA
1,"e1+e2","subRoom1_1_25_19","A2WX9BYW5TI8OA",1,1.97142857142857,0.571428571428571,40,70,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,13,28,29,0,0.666666666666667,"A2WX9BYW5TI8OA",0.844987652872693,0.447388008124697,NA,NA,NA,NA,NA,0.450207580830305,-0.245237398189273,NA,NA,NA,NA,0.998711355015546,1.19952263924072,NA,NA,NA,NA,0.721273222868807,0.198212561119946,NA,NA,NA,NA,0.933964427273581,0.692354854421521,NA,NA,NA,NA,0.857320426641227,0.431224310423252,1.28557399293343,2.0440184242287,-0.392130773859448,"AL_ann","Single-condition",2,50,NA,NA
1,"environment 1","subRoom1_1_25_2","A142ZRU284W9O",1,1.85,0.85,34,40,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,3,34,3,0,0.666666666666667,"A142ZRU284W9O",0.261582540350389,2.00053698467449,NA,NA,NA,NA,NA,0.0860110024536679,0.561744422738993,NA,NA,NA,NA,0.493148244871005,4.54058447961636,NA,NA,NA,NA,0.183070245724335,1.41813222647444,NA,NA,NA,NA,0.350554890277778,2.70016089364597,NA,NA,NA,NA,4.06640526706895,2.69103721340123,6.10767446600236,13.301887173714,0.603735377667125,"AL_ann","Single-condition",1,33,NA,NA
1,"environment 2","subRoom1_1_25_2","A142ZRU284W9O",1,2,0,0,3,"25%",-1.23184000832789,-6.992,-1.20660032474699,-9.42119205298013,0,3,0,0,0.666666666666667,"A142ZRU284W9O",0.261582540350389,2.00053698467449,NA,NA,NA,NA,NA,0.0860110024536679,0.561744422738993,NA,NA,NA,NA,0.493148244871005,4.54058447961636,NA,NA,NA,NA,0.183070245724335,1.41813222647444,NA,NA,NA,NA,0.350554890277778,2.70016089364597,NA,NA,NA,NA,4.06640526706895,2.69103721340123,6.10767446600236,13.301887173714,0.603735377667125,"AL_ann","Single-condition",1,33,NA,NA
