ID,waitingBonus,machine,result,latency_ms,performance,condition,expNum,amazonID,room,round,socialFreq0,socialFreq1,socialFreq2,optimalChoice,groupSize,sizeCategory,room_sorted_by_size,Freq_poor,Freq_firstBest,Freq_secondBest,taskDifficulty
QNAYgk0SADm11areAAAA,0,1,0.0019,14,1,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,1,0,0,0,0,0,1,mainRoom1_1_25,0,0,0,25%
QNAYgk0SADm11areAAAA,0,2,0.0214,13,2,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,2,0,1,0,1,1,1,mainRoom1_1_25,1,0,0,25%
QNAYgk0SADm11areAAAA,0,0,0.0063,13,1,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,3,0,0,1,0,1,1,mainRoom1_1_25,0,1,0,25%
QNAYgk0SADm11areAAAA,0,1,0.0072,13,1,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,4,1,0,0,0,1,1,mainRoom1_1_25,0,0,1,25%
QNAYgk0SADm11areAAAA,0,2,0.025,12,2,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,5,0,1,0,1,1,1,mainRoom1_1_25,1,0,0,25%
QNAYgk0SADm11areAAAA,0,0,0.0035,13,1,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,6,0,0,1,0,1,1,mainRoom1_1_25,0,1,0,25%
QNAYgk0SADm11areAAAA,0,1,0.0062,14,1,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,7,1,0,0,0,1,1,mainRoom1_1_25,0,0,1,25%
QNAYgk0SADm11areAAAA,0,2,0.0131,14,2,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,8,0,1,0,1,1,1,mainRoom1_1_25,1,0,0,25%
QNAYgk0SADm11areAAAA,0,2,0.0239,13,2,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,9,0,0,1,1,1,1,mainRoom1_1_25,0,1,0,25%
QNAYgk0SADm11areAAAA,0,2,0.0149,13,2,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,10,0,0,1,1,1,1,mainRoom1_1_25,0,1,0,25%
QNAYgk0SADm11areAAAA,0,2,0.0146,13,2,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,11,0,0,1,1,1,1,mainRoom1_1_25,0,1,0,25%
QNAYgk0SADm11areAAAA,0,2,0.0199,13,2,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,12,0,0,1,1,1,1,mainRoom1_1_25,0,1,0,25%
QNAYgk0SADm11areAAAA,0,2,0.0166,13,2,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,13,0,0,1,1,1,1,mainRoom1_1_25,0,1,0,25%
QNAYgk0SADm11areAAAA,0,2,0.0163,12,2,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,14,0,0,1,1,1,1,mainRoom1_1_25,0,1,0,25%
QNAYgk0SADm11areAAAA,0,0,0.013,14,1,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,15,0,0,1,0,1,1,mainRoom1_1_25,0,1,0,25%
QNAYgk0SADm11areAAAA,0,2,0.0193,15,2,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,16,1,0,0,1,1,1,mainRoom1_1_25,0,0,1,25%
QNAYgk0SADm11areAAAA,0,2,0.0111,14,2,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,17,0,0,1,1,1,1,mainRoom1_1_25,0,1,0,25%
QNAYgk0SADm11areAAAA,0,2,0.0132,14,2,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,18,0,0,1,1,1,1,mainRoom1_1_25,0,1,0,25%
QNAYgk0SADm11areAAAA,0,0,0,13,1,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,19,0,0,1,0,1,1,mainRoom1_1_25,0,1,0,25%
Aw8BlIOlnATA4VXKAAAB,0,0,0.006,88,1,1,1,A142ZRU284W9O,subRoom1_1_25_2,1,0,0,0,0,0,1,subRoom1_1_25_2,0,0,0,25%
4S0R3jYlk7D2aP_jAAAC,0,0,0.0012,85,1,1,1,A1ZF2GZ2ZRV8OY,subRoom1_1_25_3,1,0,0,0,0,0,1,subRoom1_1_25_3,0,0,0,25%
QNAYgk0SADm11areAAAA,0,2,0.0096,12,2,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,20,1,0,0,1,1,1,mainRoom1_1_25,0,0,1,25%
QNAYgk0SADm11areAAAA,0,1,0,13,1,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,21,0,0,1,0,1,1,mainRoom1_1_25,0,1,0,25%
Aw8BlIOlnATA4VXKAAAB,0,1,0.0138,85,1,1,1,A142ZRU284W9O,subRoom1_1_25_2,2,1,0,0,0,1,1,subRoom1_1_25_2,0,0,1,25%
4S0R3jYlk7D2aP_jAAAC,0,0,0.0036,83,1,1,1,A1ZF2GZ2ZRV8OY,subRoom1_1_25_3,2,1,0,0,0,1,1,subRoom1_1_25_3,0,0,1,25%
QNAYgk0SADm11areAAAA,0,2,0.0156,13,2,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,22,0,1,0,1,1,1,mainRoom1_1_25,1,0,0,25%
Aw8BlIOlnATA4VXKAAAB,0,2,0.0104,86,2,1,1,A142ZRU284W9O,subRoom1_1_25_2,3,0,1,0,1,1,1,subRoom1_1_25_2,1,0,0,25%
4S0R3jYlk7D2aP_jAAAC,0,1,0.0011,80,1,1,1,A1ZF2GZ2ZRV8OY,subRoom1_1_25_3,3,1,0,0,0,1,1,subRoom1_1_25_3,0,0,1,25%
QNAYgk0SADm11areAAAA,0,2,0.0199,13,2,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,23,0,0,1,1,1,1,mainRoom1_1_25,0,1,0,25%
Aw8BlIOlnATA4VXKAAAB,0,1,0.0075,86,1,1,1,A142ZRU284W9O,subRoom1_1_25_2,4,0,0,1,0,1,1,subRoom1_1_25_2,0,1,0,25%
4S0R3jYlk7D2aP_jAAAC,0,1,7e-04,86,1,1,1,A1ZF2GZ2ZRV8OY,subRoom1_1_25_3,4,0,1,0,0,1,1,subRoom1_1_25_3,1,0,0,25%
QNAYgk0SADm11areAAAA,0,2,0.0113,26,2,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,24,0,0,1,1,1,1,mainRoom1_1_25,0,1,0,25%
Aw8BlIOlnATA4VXKAAAB,0,1,5e-04,103,1,1,1,A142ZRU284W9O,subRoom1_1_25_2,5,0,1,0,0,1,1,subRoom1_1_25_2,1,0,0,25%
CDvI-2TJCMAEs_QeAAAD,0,0,0,78,1,1,1,A31VV1PIYCL1TW,subRoom1_1_25_4,1,0,0,0,0,0,1,subRoom1_1_25_4,0,0,0,25%
d1F9OA-R8fSAnSwuAAAE,0,1,0.0041,65,1,1,1,A2NX7CFCV3MUOS,subRoom1_1_25_5,1,0,0,0,0,0,1,subRoom1_1_25_5,0,0,0,25%
4S0R3jYlk7D2aP_jAAAC,0,2,0.0207,91,2,1,1,A1ZF2GZ2ZRV8OY,subRoom1_1_25_3,5,0,1,0,1,1,1,subRoom1_1_25_3,1,0,0,25%
QNAYgk0SADm11areAAAA,0,2,0.0128,26,2,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,25,0,0,1,1,1,1,mainRoom1_1_25,0,1,0,25%
Aw8BlIOlnATA4VXKAAAB,0,2,0.0125,105,2,1,1,A142ZRU284W9O,subRoom1_1_25_2,6,0,1,0,1,1,1,subRoom1_1_25_2,1,0,0,25%
eyU_zQTUQrF-5P41AAAF,0,1,0.0066,38,1,1,1,A3H9A9RWEEL8FY,subRoom1_1_25_6,1,0,0,0,0,0,1,subRoom1_1_25_6,0,0,0,25%
CDvI-2TJCMAEs_QeAAAD,0,1,0.0065,79,1,1,1,A31VV1PIYCL1TW,subRoom1_1_25_4,2,1,0,0,0,1,1,subRoom1_1_25_4,0,0,1,25%
QNAYgk0SADm11areAAAA,0,2,0.021,12,2,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,26,0,0,1,1,1,1,mainRoom1_1_25,0,1,0,25%
d1F9OA-R8fSAnSwuAAAE,0,0,0.0097,52,1,1,1,A2NX7CFCV3MUOS,subRoom1_1_25_5,2,0,1,0,0,1,1,subRoom1_1_25_5,1,0,0,25%
4S0R3jYlk7D2aP_jAAAC,0,2,0.0175,79,2,1,1,A1ZF2GZ2ZRV8OY,subRoom1_1_25_3,6,0,0,1,1,1,1,subRoom1_1_25_3,0,1,0,25%
Aw8BlIOlnATA4VXKAAAB,0,2,0.0162,87,2,1,1,A142ZRU284W9O,subRoom1_1_25_2,7,0,0,1,1,1,1,subRoom1_1_25_2,0,1,0,25%
xJEzNL5NUMtS9ThfAAAG,0,1,0,74,1,1,1,A3EBUBRYCKB6AF,subRoom1_1_25_7,1,0,0,0,0,0,1,subRoom1_1_25_7,0,0,0,25%
eyU_zQTUQrF-5P41AAAF,0,0,0,26,1,1,1,A3H9A9RWEEL8FY,subRoom1_1_25_6,2,0,1,0,0,1,1,subRoom1_1_25_6,1,0,0,25%
CDvI-2TJCMAEs_QeAAAD,0,1,0.0069,69,1,1,1,A31VV1PIYCL1TW,subRoom1_1_25_4,3,0,1,0,0,1,1,subRoom1_1_25_4,1,0,0,25%
QNAYgk0SADm11areAAAA,0,2,0.0152,12,2,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,27,0,0,1,1,1,1,mainRoom1_1_25,0,1,0,25%
d1F9OA-R8fSAnSwuAAAE,0,0,0.0095,53,1,1,1,A2NX7CFCV3MUOS,subRoom1_1_25_5,3,1,0,0,0,1,1,subRoom1_1_25_5,0,0,1,25%
4S0R3jYlk7D2aP_jAAAC,0,2,0.0117,80,2,1,1,A1ZF2GZ2ZRV8OY,subRoom1_1_25_3,7,0,0,1,1,1,1,subRoom1_1_25_3,0,1,0,25%
Aw8BlIOlnATA4VXKAAAB,0,0,0.0121,85,1,1,1,A142ZRU284W9O,subRoom1_1_25_2,8,0,0,1,0,1,1,subRoom1_1_25_2,0,1,0,25%
xJEzNL5NUMtS9ThfAAAG,0,0,0.0044,70,1,1,1,A3EBUBRYCKB6AF,subRoom1_1_25_7,2,0,1,0,0,1,1,subRoom1_1_25_7,1,0,0,25%
CDvI-2TJCMAEs_QeAAAD,0,1,0.0044,68,1,1,1,A31VV1PIYCL1TW,subRoom1_1_25_4,4,0,1,0,0,1,1,subRoom1_1_25_4,1,0,0,25%
QNAYgk0SADm11areAAAA,0,2,0.0105,13,2,1,1,A3GX1M6BYHJOYC,mainRoom1_1_25,28,0,0,1,1,1,1,mainRoom1_1_25,0,1,0,25%
eyU_zQTUQrF-5P41AAAF,0,2,0.022,29,2,1,1,A3H9A9RWEEL8FY,subRoom1_1_25_6,3,1,0,0,1,1,1,subRoom1_1_25_6,0,0,1,25%
Aw8BlIOlnATA4VXKAAAB,0,0,0.0127,84,1,1,1,A142ZRU284W9O,subRoom1_1_25_2,9,1,0,0,0,1,1,subRoom1_1_25_2,0,0,1,25%
d1F9OA-R8fSAnSwuAAAE,0,0,0,52,1,1,1,A2NX7CFCV3MUOS,subRoom1_1_25_5,4,1,0,0,0,1,1,subRoom1_1_25_5,0,0,1,25%
4S0R3jYlk7D2aP_jAAAC,0,2,0.018,79,2,1,1,A1ZF2GZ2ZRV8OY,subRoom1_1_25_3,8,0,0,1,1,1,1,subRoom1_1_25_3,0,1,0,25%
xJEzNL5NUMtS9ThfAAAG,0,0,4e-04,70,1,1,1,A3EBUBRYCKB6AF,subRoom1_1_25_7,3,1,0,0,0,1,1,subRoom1_1_25_7,0,0,1,25%
CDvI-2TJCMAEs_QeAAAD,0,2,0.0131,69,2,1,1,A31VV1PIYCL1TW,subRoom1_1_25_4,5,0,1,0,1,1,1,subRoom1_1_25_4,1,0,0,25%
