A12YFNOJLHN9SG,7ooWCr_vzDnbPX-HAAAZ,0.02,1.88,2.2,1.95,1,4,5,5,5,4,3,22,1,United States,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A13COBI91JOSZW,9u6erTAiVmUldzNZAAAg,0.11,1.71,2.1,1.85,1,4,2,1,1,1,4,51,2,United States,Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A140524EWF2GKE,kTg4YQWmT4J62JXTAAAU,0.05,1.85,2.2,1.95,1,2,2,5,5,5,0,34,2,United States,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0,
A14Z2UJ5TDEG8M,No3s21zCL6aXYiRZAAA7,0.42,1.85,2.5,2.25,1,4,3,5,5,4,4,57,2,United States,Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A19WXS1CLVLEEX,d4eqvbkteIpIab8EAAA-,0.2,1.92,2.4,2.15,1,2,2,5,5,1,4,61,1,United States,Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A1BNQ6H4SJZ2X5,l4HR9BNjev7BuIovAAAn,0.05,1.9,2.2,1.95,1,5,,3,5,5,4,36,1,United States,Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A1D4XBPYMV5GP0,erH2bAy7FI24WuWUAAAI,0.23,1.68,2.2,1.95,1,3,3,2,3,3,4,28,2,United States,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0,
A1H4GJFI4NJWKV,PgSo_Z40UpVoa3GxAAAw,0.13,0,0.4,0.15,1,5,5,5,5,,1,38,2,United States,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,
A1LRJ2MQD4AMES,mWOU93m-IoY0PwI8AAAc,0,1.96,2.2,1.95,1,1,1,5,5,3,4,33,1,United States,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0,
A1PJI3U6RZBL6E,lJbzLuY-2bWyFUxXAAAF,0.09,0,0.3,0.05,1,,,,,,,32,2,United States,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A1SDWF0ODT81WT,5ZelgrO115ZENcPcAABq,0.78,1.91,2.9,2.65,1,3,3,5,5,4,4,25,1,United States,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A1T2162PMSEH0P,3-4XFQKlNjbjKp8fAAAv,0,1.92,2.2,1.95,1,5,5,5,5,3,4,30,2,United States,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0,
A1UDRFUL4ZYO60,_-SmV58Dz3VSijBtAAAC,0.33,1.92,2.5,2.25,1,4,,5,5,1,4,42,2,United States,Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
