ID,waitingBonus,machine,result,latency_ms,performance,condition,expNum,amazonID,room,round,socialFreq0,socialFreq1,socialFreq2,optimalChoice,groupSize,sizeCategory,room_sorted_by_size,Freq_poor,Freq_firstBest,Freq_secondBest,taskDifficulty
OHOyPMz95ph3K9AhAAAF,0,1,0.0095,91,1,1,2,A183WYXN12P2TJ,subRoom1_2_50_6,39,0,0,1,0,1,1,subRoom1_2_50_6,0,1,0,50%
eNt-xQTpyyrn0FiQAAAQ,0,1,0.0165,106,1,1,2,A3941WEC7ZNTWP,subRoom1_2_50_16,11,1,0,0,0,1,1,subRoom1_2_50_16,0,0,1,50%
YF_6-k4vgbXwKzM0AAAP,0,0,0.0159,86,1,1,2,AKYXQY5IP7S0Z,subRoom1_2_50_15,17,0,0,1,0,1,1,subRoom1_2_50_15,0,1,0,50%
ADyAS-If7tk_Ef2EAAAK,0,2,0.0266,79,2,1,2,AYUREWGFQG5JV,subRoom1_2_50_11,40,0,0,1,1,1,1,subRoom1_2_50_11,0,1,0,50%
gDreGDmV6KSeMTtCAAAA,0,2,0.0163,30,2,1,2,A1H6AZSS5DQ0KD,mainRoom1_2_50,70,0,0,1,0,1,1,mainRoom1_2_50,0,1,0,50%
2M6GOn4o9ldXioVFAAAN,0,2,0.0261,95,2,1,2,AEWYDJH6TFBCW,subRoom1_2_50_13,30,0,0,1,1,1,1,subRoom1_2_50_13,0,1,0,50%
ZXEKCMq2GbRL72IaAAAD,0,2,0.0245,102,2,1,2,ABMX8XUNPR3LP,subRoom1_2_50_4,55,0,0,1,0,1,1,subRoom1_2_50_4,0,1,0,50%
l5AI6ygk9YXGYVYXAAAG,0,1,0.0197,135,1,1,2,A2RDNYV4SH5E89,subRoom1_2_50_7,37,0,1,0,0,1,1,subRoom1_2_50_7,1,0,0,50%
kLxk1Cx6C_xhaSdIAAAJ,0,2,0.0255,76,2,1,2,AV22FQTJNBUZT,subRoom1_2_50_10,39,0,0,1,1,1,1,subRoom1_2_50_10,0,1,0,50%
OHOyPMz95ph3K9AhAAAF,0,2,0.027,94,2,1,2,A183WYXN12P2TJ,subRoom1_2_50_6,40,0,1,0,1,1,1,subRoom1_2_50_6,1,0,0,50%
4WP7nxsG2tQQnzdaAAAC,0,0,0.0267,94,3,1,2,A9HQ3E0F2AGVO,subRoom1_2_50_3,57,1,0,0,1,1,1,subRoom1_2_50_3,0,0,1,50%
6LXWQxhWLpMY0bLpAAAI,0,2,0.0202,42,2,1,2,APYVHMR93BEMG,subRoom1_2_50_9,43,0,0,1,0,1,1,subRoom1_2_50_9,0,1,0,50%
xfvG-v2hPyFeqPITAAAE,0,2,0.0147,127,2,1,2,A8L450UGY77XB,subRoom1_2_50_5,46,0,0,1,0,1,1,subRoom1_2_50_5,0,1,0,50%
yQPPczCLBIJKGQnpAAAL,0,1,0.0146,111,1,1,2,A26XN1TM6CV01T,subRoom1_2_50_12,28,0,1,0,0,1,1,subRoom1_2_50_12,1,0,0,50%
