groupSize,theta,lambda,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,t56,t57,t58,t59,t60,t61,t62,t63,t64,t65,t66,t67,t68,t69,t70,t71,t72,t73,t74,t75,t76,t77,t78,t79,t80,t81,t82,t83,t84,t85,t86,t87,t88,t89,t90
3.,0.5,0.01,0.33243333333333336,0.3355666666666667,0.38166666666666665,0.42063333333333336,0.44666666666666666,0.4664,0.48546666666666666,0.5016666666666667,0.5128333333333334,0.5216666666666666,0.5321333333333333,0.5405666666666666,0.5486666666666666,0.5539333333333334,0.5615333333333333,0.5674666666666667,0.5752,0.5786666666666667,0.5838333333333333,0.5882666666666667,0.5933666666666667,0.5965333333333334,0.6001666666666666,0.6037333333333333,0.6085666666666667,0.6118666666666667,0.6138,0.6171666666666666,0.6204,0.6213333333333333,0.6249,0.6278666666666667,0.6309666666666667,0.6316,0.6351333333333333,0.6355666666666666,0.6388,0.6410333333333333,0.6443,0.646,0.17603333333333335,0.1834,0.1915,0.1973,0.20403333333333334,0.21063333333333334,0.21516666666666667,0.22173333333333334,0.2285,0.2345,0.2386,0.24423333333333333,0.24976666666666666,0.2541333333333333,0.25933333333333336,0.2646,0.26893333333333336,0.27473333333333333,0.2785666666666667,0.2816666666666667,0.2854333333333333,0.28996666666666665,0.29396666666666665,0.2981333333333333,0.3021333333333333,0.3067666666666667,0.3106,0.31346666666666667,0.31726666666666664,0.32006666666666667,0.32303333333333334,0.3273,0.3293,0.3311,0.3344666666666667,0.3389666666666667,0.3428333333333333,0.3463,0.348,0.3506,0.3529,0.35523333333333335,0.35936666666666667,0.36173333333333335,0.3641666666666667,0.3671333333333333,0.3698,0.3732,0.3751,0.37696666666666667
10.,0.5,0.01,0.33172,0.33417,0.3845,0.42186,0.44723,0.46874,0.48553,0.50008,0.51249,0.5239,0.53307,0.54029,0.54884,0.55735,0.56445,0.57023,0.57649,0.58129,0.58585,0.59135,0.59568,0.60012,0.60496,0.60911,0.61191,0.61538,0.6189,0.62178,0.62501,0.62823,0.63129,0.63523,0.63706,0.63992,0.64286,0.64421,0.64594,0.64879,0.65125,0.65316,0.17302,0.18107,0.18868,0.19549,0.2026,0.20916,0.21569,0.22159,0.22681,0.23238,0.23752,0.24274,0.2479,0.25245,0.25717,0.26224,0.2668,0.27049,0.27528,0.27972,0.28444,0.28801,0.2922,0.29544,0.29916,0.30306,0.30749,0.31079,0.31436,0.31786,0.3212,0.32498,0.32857,0.33144,0.33539,0.33895,0.34123,0.3451,0.34844,0.35189,0.3542,0.35752,0.36101,0.36398,0.36677,0.36966,0.37273,0.37547,0.37797,0.38067
30.,0.5,0.01,0.33267,0.33302,0.38210333333333335,0.41903,0.4461733333333333,0.46706333333333333,0.48501333333333335,0.49904333333333334,0.5118166666666667,0.5230233333333333,0.5324766666666667,0.54215,0.5504333333333333,0.558,0.56481,0.5713266666666666,0.5772766666666667,0.5822766666666667,0.5869866666666667,0.5924966666666667,0.5976,0.6013566666666667,0.60582,0.60943,0.6134733333333333,0.61701,0.6203033333333333,0.6235,0.6268166666666667,0.6305166666666666,0.6331033333333334,0.6363666666666666,0.6390033333333334,0.6416866666666666,0.6438066666666666,0.64668,0.6482533333333333,0.65014,0.65254,0.65476,0.17210333333333333,0.17971666666666666,0.18678,0.19385333333333332,0.20012,0.20657666666666666,0.21264333333333332,0.21821,0.22393,0.22932,0.23469,0.23968,0.24458666666666667,0.24949333333333334,0.25434666666666667,0.2591366666666667,0.26365666666666665,0.26832666666666666,0.27248333333333336,0.27659,0.28061,0.28480666666666665,0.28921,0.2926533333333333,0.29661666666666664,0.3007633333333333,0.30418,0.3081466666666667,0.31182333333333334,0.31555333333333335,0.3190733333333333,0.32214333333333334,0.32589666666666667,0.32898666666666665,0.33219666666666664,0.33556,0.33885,0.3420566666666667,0.3454933333333333,0.34869,0.35184666666666664,0.35434,0.3576533333333333,0.3606,0.36395333333333335,0.3667566666666667,0.36968,0.37243,0.3754733333333333,0.37807666666666667
3.,1.,0.01,0.33243333333333336,0.3350666666666667,0.3817,0.42046666666666666,0.44653333333333334,0.46686666666666665,0.4856,0.5025333333333334,0.5137,0.5225666666666666,0.5331666666666667,0.5420333333333334,0.5497666666666666,0.5548666666666666,0.5629666666666666,0.5688333333333333,0.5761666666666667,0.5799333333333333,0.5860333333333333,0.5901666666666666,0.5949666666666666,0.5983,0.6023,0.606,0.6104,0.6136333333333334,0.6159333333333333,0.6193666666666666,0.6226333333333334,0.624,0.6273,0.6299333333333333,0.6330666666666667,0.6341,0.6376666666666667,0.6389,0.6419333333333334,0.6441,0.6478666666666667,0.6496,0.17416666666666666,0.18076666666666666,0.18823333333333334,0.19316666666666665,0.19953333333333334,0.20536666666666667,0.21,0.21596666666666667,0.22176666666666667,0.22733333333333333,0.2308,0.23643333333333333,0.2415,0.24546666666666667,0.25033333333333335,0.25483333333333336,0.25916666666666666,0.26426666666666665,0.2679,0.2706,0.27473333333333333,0.2789,0.28273333333333334,0.2865,0.2901666666666667,0.29433333333333334,0.298,0.3006666666666667,0.30406666666666665,0.30693333333333334,0.31006666666666666,0.3133,0.3157333333333333,0.3173,0.3211,0.3248333333333333,0.3286,0.3320666666666667,0.3345666666666667,0.33653333333333335,0.33903333333333335,0.3416666666666667,0.3450666666666667,0.3476666666666667,0.34933333333333333,0.35176666666666667,0.3545,0.35736666666666667,0.35933333333333334,0.36093333333333333
10.,1.,0.01,0.33172,0.33414,0.38453,0.42197,0.44781,0.46953,0.48643,0.50127,0.51394,0.52567,0.53523,0.54297,0.5512,0.56003,0.56761,0.57367,0.57992,0.58487,0.58962,0.59544,0.59995,0.6051,0.60974,0.61426,0.61751,0.62085,0.62452,0.62805,0.63144,0.6349,0.63795,0.6421,0.64442,0.64745,0.65012,0.652,0.6537,0.65666,0.65968,0.66144,0.16872,0.17622,0.18294,0.18926,0.19574,0.20188,0.20774,0.21344,0.21809,0.22325,0.22791,0.23261,0.23765,0.24196,0.24633,0.25113,0.25545,0.25895,0.26327,0.26768,0.27187,0.27531,0.2794,0.2825,0.28593,0.28977,0.29376,0.29718,0.30076,0.30373,0.30724,0.31111,0.31453,0.31728,0.32092,0.32447,0.32679,0.3307,0.33401,0.33704,0.33957,0.34304,0.34635,0.34957,0.35221,0.35521,0.35829,0.36099,0.36323,0.36606
30.,1.,0.01,0.33267,0.333,0.38204666666666665,0.41934333333333335,0.44689,0.4682366666666667,0.48641666666666666,0.5008233333333333,0.5137966666666667,0.5253933333333334,0.5353133333333333,0.5452333333333333,0.5537733333333333,0.5616533333333333,0.56862,0.57554,0.58186,0.5871666666666666,0.59207,0.59784,0.60316,0.6071966666666667,0.6121066666666667,0.61592,0.62004,0.6239333333333333,0.6273866666666666,0.6307366666666666,0.6345166666666666,0.6383,0.64106,0.64474,0.6475766666666667,0.6505933333333334,0.65305,0.65612,0.6578,0.6599233333333333,0.66263,0.6651333333333334,0.16688,0.17366333333333334,0.18005333333333334,0.18664333333333333,0.19226333333333334,0.19826333333333335,0.20382,0.20889333333333332,0.21394,0.21892,0.22385,0.22862666666666667,0.23305333333333333,0.23764,0.24224,0.24668666666666667,0.2509266666666667,0.2552933333333333,0.25932333333333335,0.26322,0.26709,0.2711166666666667,0.27509666666666666,0.27847666666666665,0.2822366666666667,0.28623,0.28955333333333333,0.29316,0.2967166666666667,0.3003166666666667,0.3036433333333333,0.3065333333333333,0.31027,0.31349333333333335,0.31661666666666666,0.32009666666666664,0.32311,0.32630333333333333,0.3296233333333333,0.33276,0.33591666666666664,0.33848,0.3417266666666667,0.3449333333333333,0.34812666666666664,0.35105,0.35407,0.35677,0.35990666666666665,0.36252666666666666
3.,3.,0.01,0.33243333333333336,0.33526666666666666,0.38183333333333336,0.42073333333333335,0.4472333333333333,0.4671,0.4866333333333333,0.5025666666666667,0.5135,0.5230666666666667,0.5338333333333334,0.5429666666666667,0.5507333333333333,0.5559,0.5634666666666667,0.5704333333333333,0.5783333333333334,0.5818,0.5885333333333334,0.5928,0.5969,0.6004,0.6049,0.6084,0.6138666666666667,0.6160666666666667,0.619,0.6218666666666667,0.6266333333333334,0.6287666666666667,0.6314333333333333,0.6336,0.6366,0.6380333333333333,0.6413666666666666,0.6428,0.646,0.6486,0.6510333333333334,0.6542,0.1717,0.17713333333333334,0.1832,0.187,0.19223333333333334,0.1969,0.2013,0.20573333333333332,0.21006666666666668,0.2138,0.21683333333333332,0.221,0.2253,0.22873333333333334,0.23316666666666666,0.23646666666666666,0.23983333333333334,0.24366666666666667,0.24603333333333333,0.24903333333333333,0.25133333333333335,0.25456666666666666,0.25766666666666665,0.2608666666666667,0.26426666666666665,0.2678333333333333,0.2708333333333333,0.2724,0.2754333333333333,0.27796666666666664,0.2804333333333333,0.2826,0.2848333333333333,0.2862,0.28826666666666667,0.2918,0.2942666666666667,0.2971,0.29893333333333333,0.3007666666666667,0.3029,0.30443333333333333,0.3067666666666667,0.3093,0.31083333333333335,0.3131,0.3152333333333333,0.31743333333333335,0.3194,0.3206333333333333
10.,3.,0.01,0.33172,0.334,0.38437,0.4225,0.44879,0.47138,0.48911,0.50433,0.51789,0.52994,0.5399,0.54847,0.55692,0.56634,0.57517,0.58097,0.58838,0.59402,0.59957,0.60563,0.61062,0.61635,0.62071,0.62593,0.62956,0.63348,0.63822,0.64181,0.64557,0.64967,0.65335,0.65757,0.66098,0.66465,0.66748,0.66956,0.67243,0.67481,0.67794,0.68047,0.15944,0.1649,0.17024,0.17501,0.18006,0.18433,0.18873,0.19312,0.19652,0.20028,0.20376,0.20731,0.21087,0.21444,0.2174,0.22123,0.22422,0.22679,0.23008,0.23317,0.23587,0.23844,0.24141,0.24387,0.24656,0.24903,0.25232,0.25489,0.25775,0.25987,0.26259,0.26518,0.26786,0.27013,0.27291,0.27563,0.27733,0.28051,0.28291,0.28498,0.28723,0.28987,0.29258,0.29522,0.29703,0.29934,0.30208,0.30374,0.30563,0.3081
30.,3.,0.01,0.33267,0.3330666666666667,0.38204,0.4204966666666667,0.44905333333333336,0.47181,0.4909733333333333,0.5064633333333334,0.5203033333333333,0.53279,0.5435233333333334,0.55432,0.5636566666666667,0.5724733333333333,0.5803033333333333,0.5876466666666667,0.59513,0.60085,0.60655,0.6135266666666667,0.6192566666666667,0.6243433333333334,0.6296066666666666,0.6338866666666667,0.6386433333333333,0.6429166666666667,0.6473433333333334,0.65175,0.6557766666666667,0.66021,0.66357,0.6679766666666667,0.6715466666666666,0.67484,0.6777966666666667,0.6812566666666666,0.68381,0.6862933333333333,0.6891,0.6922866666666667,0.15317333333333333,0.15790666666666667,0.16232333333333332,0.16712666666666667,0.17128333333333334,0.17532,0.17928,0.18295666666666666,0.18651,0.19005333333333332,0.19320666666666667,0.1967,0.19983666666666666,0.20291666666666666,0.20602333333333334,0.20901333333333333,0.21176333333333333,0.21474,0.21763,0.22026333333333334,0.22281333333333334,0.22567333333333334,0.22821,0.23032333333333332,0.23289333333333334,0.23572333333333334,0.23804333333333333,0.24067666666666668,0.24319,0.24555,0.24774,0.24993,0.25221666666666664,0.25433666666666666,0.2563933333333333,0.2588066666666667,0.26131333333333334,0.2631966666666667,0.26553,0.26783,0.26987,0.27176,0.2735766666666667,0.27622,0.27857666666666664,0.2805166666666667,0.2827733333333333,0.28519,0.28691666666666665,0.28884
3.,6.,0.01,0.33243333333333336,0.3354,0.38166666666666665,0.42086666666666667,0.4469666666666667,0.4672,0.48636666666666667,0.5021,0.5127666666666667,0.5230666666666667,0.5335666666666666,0.5429333333333334,0.5509,0.5565666666666667,0.5642,0.5708333333333333,0.5788333333333333,0.5825333333333333,0.5892,0.5934,0.5981666666666666,0.6011,0.6059,0.6091666666666666,0.6146333333333334,0.6172666666666666,0.6200666666666667,0.6236,0.6276666666666667,0.6298,0.6328333333333334,0.6350333333333333,0.6369,0.6389333333333334,0.6421666666666667,0.6432,0.6467666666666667,0.6493666666666666,0.6512666666666667,0.6543666666666667,0.17166666666666666,0.1772,0.18276666666666666,0.1864,0.19143333333333334,0.1957,0.19996666666666665,0.20396666666666666,0.20823333333333333,0.21153333333333332,0.21493333333333334,0.21836666666666665,0.2224,0.22513333333333332,0.229,0.23246666666666665,0.23566666666666666,0.23916666666666667,0.24156666666666668,0.24456666666666665,0.24676666666666666,0.24916666666666668,0.2517,0.25443333333333334,0.2577333333333333,0.26093333333333335,0.2633,0.2651,0.2677333333333333,0.2703333333333333,0.27263333333333334,0.2743,0.2764333333333333,0.2779333333333333,0.2802,0.2835666666666667,0.2858,0.2886666666666667,0.2897666666666667,0.2920333333333333,0.29356666666666664,0.2954333333333333,0.2976,0.2992,0.3006,0.3026,0.30506666666666665,0.3067666666666667,0.30843333333333334,0.3103
10.,6.,0.01,0.33172,0.33387,0.38429,0.42295,0.4496,0.47231,0.49055,0.50573,0.51981,0.53206,0.54176,0.55075,0.5591,0.56885,0.57753,0.58353,0.59145,0.59693,0.60263,0.60899,0.61402,0.62006,0.62449,0.62989,0.63368,0.63772,0.64263,0.64601,0.64989,0.65441,0.65836,0.66242,0.66612,0.66957,0.67255,0.67459,0.67753,0.68004,0.6834,0.68573,0.15673,0.16181,0.1669,0.17141,0.17595,0.17971,0.1838,0.18777,0.19086,0.19432,0.19706,0.20029,0.20355,0.20657,0.20928,0.2124,0.21511,0.21736,0.22028,0.22274,0.22543,0.22776,0.23033,0.23239,0.2344,0.23683,0.23936,0.24155,0.24401,0.24589,0.24797,0.25049,0.25249,0.25406,0.2564,0.25851,0.26014,0.26245,0.26433,0.26626,0.26782,0.26977,0.27219,0.27408,0.27586,0.27775,0.27995,0.28149,0.28285,0.28489
