A15J08EU93ZGZ0,wh6dZW7g3sBTsBThAAAp,0.1,1.95,2.3,2.05,1,4,5,5,3,4,3,34,2,United States,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A17D6BK59S31BM,O4uX7Cgj-T8SrmzfAAAi,0.16,1.79,2.2,1.95,1,5,4,5,5,4,3,26,1,United States,Mozilla/5.0 (iPad; CPU OS 8_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12F69 Safari/600.1.4
A19BMRBO5UAD6H,_1pV03vji7rjerm_AAAB,0.14,0,0.4,0.15,1,5,5,5,5,1,0,44,2,United States,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0,
A19U56Z7XQ7I1I,6tDgUSbRo-QbKE3RAAA8,0.38,1.95,2.6,2.35,1,5,5,5,5,1,1,24,3,United States,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A1CSDIX05PK9V,5wzCQ3S-ShTteOCmAABB,0.29,1.91,2.5,2.25,1,4,4,5,5,2,3,28,1,United States,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A1CTDEF13ABY5U,DeRr6dBxrQC343mbAAAq,0.1,1.76,2.1,1.85,1,4,4,2,4,3,4,53,2,United States,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A1GHRGMTWG85LX,aY3rQ_izWtQH228yAAAN,0.14,1.73,2.1,1.85,1,3,2,4,4,4,2,56,2,United States,Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A1JKSAQ8UNCE7B,UNmsGEfQwpPiyq5SAAAl,0.13,1.89,2.3,2.05,1,2,2,3,5,2,4,41,2,United States,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,
A1K6WJXEB8TP7U,RdkrLMuwsGBb6bz0AAAO,0.13,1.97,2.4,2.15,1,5,4,5,5,5,2,24,1,United States,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A1QCMNAD3O3L8,TF-f-xgMFJ6r30d_AAAS,0.05,0,0.3,0.05,1,3,3,3,3,3,1,26,1,United States,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A1R93MQYAFEVX1,0ly-0gcxqQyt5_ftAAAa,0.03,1.79,2.1,1.85,1,2,2,3,3,3,4,44,1,Taiwan, Province of China,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko
A1SEQOG02JOFVS,Mri6eZFPszYahncCAAA_,0.31,1.95,2.5,2.25,1,5,4,5,4,5,4,30,2,United States,Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A1TM1ZFU4OIPTD,J56W7H1YL_nLfvoqAAAr,0.07,1.93,2.3,2.05,1,4,4,,5,4,2,33,2,United States,Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A1U6A617Q95MTZ,3K_h_OnuxJT0xve1AABU,0.52,1.94,2.7,2.45,1,2,4,4,5,1,4,34,2,United States,Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A1U8V8MATNRZN4,Whq6aM9Tp3SeSGk7AAAW,0.07,1.86,2.2,1.95,1,5,4,4,5,4,4,32,1,India,Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36
A1XC103XSP8MMD,NISu_GcoGg_KL6hgAAAA,0.4,1.87,2.5,2.25,1,2,2,3,4,3,4,30,2,United States,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_1) AppleWebKit/601.2.7 (KHTML, like Gecko) Version/9.0.1 Safari/601.2.7
A1XWMSFU4RHNK5,UzGwXvTkB0QNSf5CAAA0,0.5,2.06,2.8,2.55,1,4,4,5,4,3,4,46,1,United States,Mozilla/5.0 (Windows NT 5.1; rv:43.0) Gecko/20100101 Firefox/43.0,
A21UA4B0AW3F6B,IDiYHQhChTZve7ajAAAX,0.06,1.86,2.2,1.95,1,4,4,5,5,3,4,45,1,United States,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0,
A239JNU2N6RC4U,Zw2CWZ0-tIWRyPoLAAAG,0.26,1.86,2.4,2.15,1,4,4,,5,2,2,33,2,United States,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0,
A23TQQBMP0WE0X,4xo1rtdZtvqk3CavAABx,0.74,2.01,3,2.75,1,2,2,3,3,2,2,24,2,United States,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0,
A24RQ4RYIXXRZU,nUNTEFECBN0NRIxwAAAR,0.11,1.92,2.3,2.05,1,2,2,5,5,1,0,44,2,United States,Mozilla/5.0 (iPad; CPU OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B554a Safari/9537.53
